DATE,W875RX1
1959-01-01,2293.2
1959-02-01,2301.5
1959-03-01,2318.5
1959-04-01,2334.9
1959-05-01,2350.4
1959-06-01,2357.4
1959-07-01,2355.6
1959-08-01,2342.1
1959-09-01,2342.1
1959-10-01,2344.8
1959-11-01,2360.6
1959-12-01,2387.6
1960-01-01,2398.7
1960-02-01,2400.9
1960-03-01,2403.1
1960-04-01,2411.8
1960-05-01,2417.7
1960-06-01,2417.1
1960-07-01,2421.7
1960-08-01,2415.5
1960-09-01,2416.2
1960-10-01,2423.8
1960-11-01,2409.9
1960-12-01,2395.8
1961-01-01,2416.7
1961-02-01,2416.9
1961-03-01,2428.8
1961-04-01,2437.2
1961-05-01,2451.7
1961-06-01,2471.4
1961-07-01,2477.3
1961-08-01,2487.8
1961-09-01,2492.7
1961-10-01,2519.4
1961-11-01,2542.5
1961-12-01,2556.5
1962-01-01,2553.0
1962-02-01,2565.3
1962-03-01,2582.4
1962-04-01,2598.5
1962-05-01,2602.2
1962-06-01,2605.5
1962-07-01,2617.8
1962-08-01,2620.8
1962-09-01,2623.9
1962-10-01,2632.6
1962-11-01,2645.1
1962-12-01,2659.1
1963-01-01,2652.8
1963-02-01,2659.7
1963-03-01,2671.6
1963-04-01,2679.1
1963-05-01,2690.6
1963-06-01,2704.4
1963-07-01,2706.0
1963-08-01,2715.7
1963-09-01,2734.6
1963-10-01,2749.7
1963-11-01,2756.2
1963-12-01,2775.9
1964-01-01,2775.6
1964-02-01,2800.5
1964-03-01,2814.8
1964-04-01,2832.0
1964-05-01,2849.9
1964-06-01,2861.0
1964-07-01,2876.5
1964-08-01,2894.0
1964-09-01,2906.2
1964-10-01,2908.0
1964-11-01,2929.5
1964-12-01,2957.7
1965-01-01,2962.9
1965-02-01,2979.2
1965-03-01,2993.9
1965-04-01,3004.9
1965-05-01,3024.2
1965-06-01,3033.1
1965-07-01,3053.6
1965-08-01,3069.8
1965-09-01,3089.8
1965-10-01,3124.4
1965-11-01,3146.4
1965-12-01,3163.3
1966-01-01,3170.1
1966-02-01,3186.3
1966-03-01,3203.8
1966-04-01,3202.6
1966-05-01,3213.5
1966-06-01,3232.2
1966-07-01,3246.6
1966-08-01,3255.6
1966-09-01,3264.4
1966-10-01,3278.6
1966-11-01,3291.8
1966-12-01,3287.6
1967-01-01,3316.2
1967-02-01,3315.6
1967-03-01,3328.4
1967-04-01,3329.4
1967-05-01,3334.5
1967-06-01,3347.6
1967-07-01,3362.9
1967-08-01,3377.4
1967-09-01,3382.1
1967-10-01,3383.2
1967-11-01,3404.5
1967-12-01,3413.7
1968-01-01,3430.6
1968-02-01,3458.7
1968-03-01,3475.6
1968-04-01,3486.1
1968-05-01,3507.5
1968-06-01,3524.5
1968-07-01,3546.0
1968-08-01,3559.3
1968-09-01,3577.9
1968-10-01,3583.1
1968-11-01,3599.5
1968-12-01,3614.1
1969-01-01,3615.0
1969-02-01,3630.0
1969-03-01,3647.9
1969-04-01,3657.0
1969-05-01,3671.7
1969-06-01,3686.0
1969-07-01,3706.2
1969-08-01,3729.3
1969-09-01,3739.3
1969-10-01,3744.8
1969-11-01,3748.8
1969-12-01,3755.4
1970-01-01,3761.7
1970-02-01,3768.4
1970-03-01,3782.6
1970-04-01,3760.3
1970-05-01,3768.2
1970-06-01,3780.4
1970-07-01,3800.4
1970-08-01,3807.9
1970-09-01,3797.3
1970-10-01,3775.7
1970-11-01,3774.2
1970-12-01,3783.9
1971-01-01,3820.4
1971-02-01,3824.3
1971-03-01,3834.9
1971-04-01,3845.5
1971-05-01,3861.2
1971-06-01,3862.9
1971-07-01,3867.8
1971-08-01,3882.4
1971-09-01,3899.5
1971-10-01,3915.4
1971-11-01,3931.5
1971-12-01,3955.5
1972-01-01,3977.9
1972-02-01,4000.3
1972-03-01,4026.4
1972-04-01,4039.4
1972-05-01,4056.3
1972-06-01,4068.6
1972-07-01,4095.1
1972-08-01,4136.1
1972-09-01,4155.8
1972-10-01,4226.3
1972-11-01,4257.6
1972-12-01,4282.8
1973-01-01,4260.0
1973-02-01,4276.3
1973-03-01,4278.1
1973-04-01,4291.0
1973-05-01,4306.7
1973-06-01,4323.3
1973-07-01,4340.2
1973-08-01,4322.8
1973-09-01,4349.8
1973-10-01,4390.0
1973-11-01,4400.2
1973-12-01,4389.8
1974-01-01,4337.8
1974-02-01,4309.8
1974-03-01,4280.0
1974-04-01,4258.9
1974-05-01,4261.7
1974-06-01,4259.9
1974-07-01,4263.2
1974-08-01,4257.1
1974-09-01,4251.9
1974-10-01,4261.1
1974-11-01,4227.7
1974-12-01,4212.1
1975-01-01,4199.1
1975-02-01,4179.8
1975-03-01,4179.7
1975-04-01,4174.8
1975-05-01,4196.9
1975-06-01,4205.5
1975-07-01,4203.8
1975-08-01,4239.3
1975-09-01,4251.4
1975-10-01,4269.7
1975-11-01,4279.0
1975-12-01,4280.8
1976-01-01,4304.3
1976-02-01,4332.6
1976-03-01,4350.0
1976-04-01,4373.4
1976-05-01,4386.8
1976-06-01,4389.9
1976-07-01,4404.9
1976-08-01,4422.0
1976-09-01,4429.1
1976-10-01,4432.8
1976-11-01,4469.4
1976-12-01,4484.5
1977-01-01,4467.5
1977-02-01,4483.6
1977-03-01,4504.6
1977-04-01,4527.2
1977-05-01,4551.0
1977-06-01,4565.4
1977-07-01,4582.7
1977-08-01,4595.6
1977-09-01,4632.4
1977-10-01,4685.3
1977-11-01,4714.6
1977-12-01,4739.9
1978-01-01,4721.8
1978-02-01,4746.7
1978-03-01,4776.2
1978-04-01,4814.5
1978-05-01,4816.3
1978-06-01,4844.4
1978-07-01,4855.1
1978-08-01,4877.3
1978-09-01,4890.2
1978-10-01,4911.6
1978-11-01,4917.9
1978-12-01,4949.6
1979-01-01,4961.8
1979-02-01,4990.2
1979-03-01,5005.2
1979-04-01,4956.5
1979-05-01,4942.0
1979-06-01,4949.7
1979-07-01,4955.2
1979-08-01,4963.5
1979-09-01,4966.8
1979-10-01,4965.2
1979-11-01,4980.3
1979-12-01,4991.9
1980-01-01,4985.4
1980-02-01,4965.6
1980-03-01,4948.3
1980-04-01,4938.4
1980-05-01,4917.8
1980-06-01,4926.1
1980-07-01,4909.9
1980-08-01,4927.8
1980-09-01,4944.9
1980-10-01,5002.7
1980-11-01,5027.0
1980-12-01,5048.1
1981-01-01,5035.0
1981-02-01,5020.8
1981-03-01,5035.9
1981-04-01,5032.4
1981-05-01,5048.9
1981-06-01,5081.1
1981-07-01,5135.0
1981-08-01,5160.8
1981-09-01,5156.4
1981-10-01,5139.2
1981-11-01,5142.7
1981-12-01,5140.0
1982-01-01,5129.6
1982-02-01,5148.5
1982-03-01,5144.1
1982-04-01,5173.5
1982-05-01,5174.7
1982-06-01,5152.6
1982-07-01,5133.2
1982-08-01,5143.3
1982-09-01,5132.2
1982-10-01,5121.5
1982-11-01,5124.7
1982-12-01,5153.9
1983-01-01,5158.8
1983-02-01,5158.2
1983-03-01,5178.1
1983-04-01,5186.2
1983-05-01,5210.0
1983-06-01,5224.5
1983-07-01,5255.4
1983-08-01,5249.8
1983-09-01,5296.0
1983-10-01,5357.9
1983-11-01,5392.6
1983-12-01,5443.1
1984-01-01,5465.7
1984-02-01,5506.3
1984-03-01,5542.4
1984-04-01,5581.4
1984-05-01,5597.4
1984-06-01,5644.3
1984-07-01,5660.9
1984-08-01,5699.4
1984-09-01,5751.9
1984-10-01,5727.6
1984-11-01,5759.2
1984-12-01,5786.6
1985-01-01,5780.5
1985-02-01,5784.5
1985-03-01,5810.9
1985-04-01,5798.6
1985-05-01,5813.4
1985-06-01,5837.3
1985-07-01,5835.2
1985-08-01,5845.1
1985-09-01,5871.6
1985-10-01,5901.8
1985-11-01,5910.7
1985-12-01,5950.4
1986-01-01,5932.0
1986-02-01,5962.7
1986-03-01,6018.8
1986-04-01,6038.8
1986-05-01,6043.6
1986-06-01,6046.1
1986-07-01,6067.7
1986-08-01,6093.3
1986-09-01,6101.5
1986-10-01,6105.0
1986-11-01,6120.6
1986-12-01,6146.6
1987-01-01,6139.8
1987-02-01,6162.3
1987-03-01,6182.0
1987-04-01,6180.2
1987-05-01,6214.0
1987-06-01,6218.6
1987-07-01,6241.7
1987-08-01,6281.8
1987-09-01,6288.9
1987-10-01,6332.7
1987-11-01,6367.3
1987-12-01,6443.2
1988-01-01,6412.5
1988-02-01,6442.0
1988-03-01,6446.5
1988-04-01,6473.3
1988-05-01,6479.5
1988-06-01,6504.6
1988-07-01,6537.0
1988-08-01,6553.6
1988-09-01,6568.5
1988-10-01,6608.6
1988-11-01,6607.8
1988-12-01,6644.8
1989-01-01,6690.7
1989-02-01,6711.2
1989-03-01,6739.2
1989-04-01,6719.1
1989-05-01,6688.6
1989-06-01,6705.2
1989-07-01,6728.6
1989-08-01,6739.6
1989-09-01,6755.9
1989-10-01,6789.0
1989-11-01,6790.7
1989-12-01,6800.3
1990-01-01,6798.6
1990-02-01,6822.0
1990-03-01,6827.0
1990-04-01,6869.5
1990-05-01,6859.2
1990-06-01,6866.5
1990-07-01,6891.9
1990-08-01,6845.6
1990-09-01,6834.3
1990-10-01,6765.2
1990-11-01,6761.4
1990-12-01,6788.2
1991-01-01,6721.0
1991-02-01,6718.8
1991-03-01,6721.7
1991-04-01,6737.2
1991-05-01,6735.1
1991-06-01,6772.9
1991-07-01,6756.7
1991-08-01,6766.6
1991-09-01,6785.1
1991-10-01,6771.4
1991-11-01,6788.5
1991-12-01,6834.3
1992-01-01,6854.2
1992-02-01,6892.5
1992-03-01,6898.1
1992-04-01,6917.1
1992-05-01,6955.2
1992-06-01,6986.2
1992-07-01,6976.8
1992-08-01,7003.4
1992-09-01,6968.8
1992-10-01,6928.5
1992-11-01,6959.5
1992-12-01,7244.4
1993-01-01,6994.2
1993-02-01,7033.5
1993-03-01,7006.3
1993-04-01,7071.8
1993-05-01,7074.8
1993-06-01,7056.2
1993-07-01,7075.8
1993-08-01,7088.1
1993-09-01,7068.4
1993-10-01,7040.3
1993-11-01,7061.3
1993-12-01,7336.4
1994-01-01,7159.5
1994-02-01,7168.4
1994-03-01,7191.0
1994-04-01,7265.6
1994-05-01,7286.5
1994-06-01,7276.7
1994-07-01,7294.5
1994-08-01,7303.2
1994-09-01,7337.9
1994-10-01,7396.9
1994-11-01,7393.1
1994-12-01,7423.9
1995-01-01,7444.8
1995-02-01,7460.6
1995-03-01,7477.9
1995-04-01,7490.4
1995-05-01,7490.5
1995-06-01,7524.7
1995-07-01,7549.4
1995-08-01,7564.0
1995-09-01,7599.5
1995-10-01,7623.0
1995-11-01,7655.9
1995-12-01,7664.8
1996-01-01,7673.1
1996-02-01,7739.7
1996-03-01,7762.5
1996-04-01,7776.4
1996-05-01,7816.2
1996-06-01,7874.4
1996-07-01,7866.1
1996-08-01,7900.0
1996-09-01,7930.8
1996-10-01,7937.3
1996-11-01,7966.5
1996-12-01,8001.6
1997-01-01,8035.8
1997-02-01,8073.7
1997-03-01,8112.3
1997-04-01,8125.4
1997-05-01,8169.7
1997-06-01,8201.6
1997-07-01,8242.6
1997-08-01,8295.7
1997-09-01,8323.8
1997-10-01,8374.6
1997-11-01,8441.2
1997-12-01,8493.1
1998-01-01,8575.7
1998-02-01,8638.7
1998-03-01,8693.7
1998-04-01,8731.5
1998-05-01,8778.6
1998-06-01,8832.4
1998-07-01,8855.9
1998-08-01,8894.5
1998-09-01,8924.8
1998-10-01,8944.2
1998-11-01,8987.6
1998-12-01,9007.4
1999-01-01,9034.3
1999-02-01,9076.3
1999-03-01,9082.4
1999-04-01,9066.9
1999-05-01,9088.6
1999-06-01,9123.1
1999-07-01,9150.3
1999-08-01,9192.3
1999-09-01,9189.0
1999-10-01,9250.3
1999-11-01,9324.7
1999-12-01,9407.6
2000-01-01,9498.6
2000-02-01,9541.8
2000-03-01,9573.1
2000-04-01,9620.5
2000-05-01,9628.6
2000-06-01,9674.3
2000-07-01,9730.3
2000-08-01,9780.5
2000-09-01,9788.8
2000-10-01,9815.1
2000-11-01,9825.5
2000-12-01,9827.7
2001-01-01,9875.6
2001-02-01,9896.1
2001-03-01,9921.3
2001-04-01,9872.7
2001-05-01,9834.1
2001-06-01,9815.8
2001-07-01,9811.4
2001-08-01,9802.7
2001-09-01,9789.6
2001-10-01,9735.0
2001-11-01,9728.2
2001-12-01,9730.2
2002-01-01,9732.3
2002-02-01,9733.3
2002-03-01,9732.4
2002-04-01,9729.1
2002-05-01,9756.1
2002-06-01,9787.0
2002-07-01,9752.8
2002-08-01,9751.7
2002-09-01,9754.9
2002-10-01,9776.1
2002-11-01,9797.2
2002-12-01,9808.5
2003-01-01,9768.7
2003-02-01,9730.1
2003-03-01,9745.3
2003-04-01,9792.2
2003-05-01,9869.2
2003-06-01,9903.0
2003-07-01,9910.7
2003-08-01,9926.5
2003-09-01,9944.2
2003-10-01,9997.6
2003-11-01,10067.0
2003-12-01,10058.0
2004-01-01,10025.5
2004-02-01,10027.2
2004-03-01,10064.3
2004-04-01,10098.8
2004-05-01,10162.0
2004-06-01,10177.0
2004-07-01,10231.1
2004-08-01,10260.6
2004-09-01,10280.5
2004-10-01,10291.5
2004-11-01,10264.0
2004-12-01,10654.8
2005-01-01,10306.8
2005-02-01,10306.2
2005-03-01,10347.8
2005-04-01,10378.9
2005-05-01,10432.3
2005-06-01,10466.0
2005-07-01,10500.9
2005-08-01,10500.7
2005-09-01,10469.1
2005-10-01,10541.8
2005-11-01,10614.8
2005-12-01,10665.6
2006-01-01,10773.5
2006-02-01,10855.3
2006-03-01,10906.5
2006-04-01,10915.7
2006-05-01,10899.4
2006-06-01,10910.2
2006-07-01,10897.3
2006-08-01,10884.7
2006-09-01,10955.9
2006-10-01,11030.8
2006-11-01,11091.2
2006-12-01,11146.8
2007-01-01,11129.6
2007-02-01,11172.7
2007-03-01,11220.1
2007-04-01,11252.5
2007-05-01,11260.7
2007-06-01,11256.3
2007-07-01,11259.9
2007-08-01,11248.8
2007-09-01,11261.1
2007-10-01,11250.6
2007-11-01,11242.8
2007-12-01,11273.1
2008-01-01,11263.3
2008-02-01,11263.4
2008-03-01,11260.6
2008-04-01,11192.7
2008-05-01,11146.1
2008-06-01,11086.5
2008-07-01,11040.1
2008-08-01,11090.4
2008-09-01,11086.5
2008-10-01,11152.8
2008-11-01,11209.4
2008-12-01,11080.3
2009-01-01,10880.7
2009-02-01,10704.9
2009-03-01,10631.6
2009-04-01,10616.3
2009-05-01,10604.5
2009-06-01,10521.4
2009-07-01,10472.0
2009-08-01,10447.3
2009-09-01,10440.8
2009-10-01,10439.9
2009-11-01,10473.7
2009-12-01,10505.5
2010-01-01,10490.7
2010-02-01,10487.0
2010-03-01,10529.1
2010-04-01,10638.7
2010-05-01,10740.6
2010-06-01,10755.9
2010-07-01,10789.5
2010-08-01,10811.8
2010-09-01,10824.2
2010-10-01,10840.9
2010-11-01,10859.3
2010-12-01,10936.6
2011-01-01,11109.0
2011-02-01,11157.7
2011-03-01,11129.7
2011-04-01,11114.2
2011-05-01,11107.8
2011-06-01,11169.8
2011-07-01,11231.3
2011-08-01,11227.3
2011-09-01,11214.0
2011-10-01,11219.3
2011-11-01,11211.8
2011-12-01,11330.5
2012-01-01,11426.7
2012-02-01,11514.0
2012-03-01,11557.9
2012-04-01,11611.8
2012-05-01,11611.6
2012-06-01,11604.7
2012-07-01,11527.5
2012-08-01,11513.8
2012-09-01,11610.3
2012-10-01,11712.5
2012-11-01,11891.8
2012-12-01,12227.2
2013-01-01,11508.6
2013-02-01,11481.2
2013-03-01,11517.7
2013-04-01,11580.0
2013-05-01,11631.6
2013-06-01,11629.7
2013-07-01,11605.6
2013-08-01,11628.9
2013-09-01,11681.3
2013-10-01,11651.7
2013-11-01,11697.0
2013-12-01,11731.6
2014-01-01,11800.5
2014-02-01,11870.9
2014-03-01,11933.0
2014-04-01,11965.2
2014-05-01,11993.1
2014-06-01,12042.7
2014-07-01,12085.3
2014-08-01,12150.7
2014-09-01,12196.7
2014-10-01,12257.0
2014-11-01,12329.5
2014-12-01,12408.3
2015-01-01,12507.8
2015-02-01,12552.7
2015-03-01,12508.2
2015-04-01,12543.4
2015-05-01,12569.5
2015-06-01,12576.7
2015-07-01,12599.4
2015-08-01,12627.1
2015-09-01,12663.0
2015-10-01,12700.5
2015-11-01,12694.1
2015-12-01,12743.1
2016-01-01,12751.1
2016-02-01,12745.9
2016-03-01,12745.1
2016-04-01,12725.5
2016-05-01,12719.2
2016-06-01,12735.5
2016-07-01,12787.7
2016-08-01,12793.7
2016-09-01,12830.4
2016-10-01,12841.0
2016-11-01,12881.2
2016-12-01,12917.3
2017-01-01,12961.8
2017-02-01,13002.5
2017-03-01,13053.8
2017-04-01,13084.5
2017-05-01,13174.4
2017-06-01,13179.2
2017-07-01,13220.1
2017-08-01,13232.1
2017-09-01,13265.0
2017-10-01,13309.0
2017-11-01,13360.3
2017-12-01,13387.6
2018-01-01,13379.4
2018-02-01,13397.4
2018-03-01,13423.2
2018-04-01,13443.2
2018-05-01,13478.9
2018-06-01,13532.4
2018-07-01,13605.1
2018-08-01,13663.3
2018-09-01,13663.7
2018-10-01,13690.1
2018-11-01,13736.2
2018-12-01,13919.2
2019-01-01,13911.2
2019-02-01,13967.1
2019-03-01,13994.1
2019-04-01,13978.8
2019-05-01,13982.3
2019-06-01,13997.8
2019-07-01,14002.8
2019-08-01,14081.3
2019-09-01,14115.0
2019-10-01,14140.6
2019-11-01,14218.2
2019-12-01,14175.3
2020-01-01,14312.2
2020-02-01,14415.4
2020-03-01,14058.3
2020-04-01,13240.1
2020-05-01,13517.4
2020-06-01,13785.7
2020-07-01,13907.8
2020-08-01,14041.6
2020-09-01,14171.7
2020-10-01,14366.3
2020-11-01,14324.8
2020-12-01,14314.6
2021-01-01,14204.9
2021-02-01,14187.1
2021-03-01,14270.1
2021-04-01,14358.2
2021-05-01,14410.4
2021-06-01,14436.8
2021-07-01,14482.6
2021-08-01,14476.1
2021-09-01,14516.5
2021-10-01,14588.7
2021-11-01,14599.9
2021-12-01,14579.5
2022-01-01,14515.0
2022-02-01,14526.8
2022-03-01,14481.6
2022-04-01,14505.4
2022-05-01,14514.6
2022-06-01,14457.8
2022-07-01,14547.5
2022-08-01,14557.3
